date,lang,percent,count,date_bin,rank,growth_rate
2011-01-01 00:00:00,es,9.30668964577,5473440633,5,3,410.102269415
2011-01-01 00:00:00,fa,0.0,0,5,28,0
2011-01-01 00:00:00,fi,6.02871228914e-05,35456,5,21,0
2011-01-01 00:00:00,fil,0.00266116909531,1565084,5,16,688.960191155
2011-01-01 00:00:00,fr,0.646455146038,380192528,5,6,299.574202335
2011-01-01 00:00:00,he,0.0,0,5,27,0
2011-01-01 00:00:00,hi,0.00137674867746,809692,5,18,818.747305117
2011-01-01 00:00:00,hu,0.0,0,5,23,0
2011-01-01 00:00:00,id,0.18972656493,111581790,5,12,1384.7649038
2011-01-01 00:00:00,it,0.293450626178,172583877,5,10,255.62560047
2011-01-01 00:00:00,ja,14.9892527322,8815463724,5,2,184.450911937
2011-01-01 00:00:00,ko,0.854578070788,502593566,5,5,691.468443618
2011-01-01 00:00:00,msa,0.0020081124413,1181009,5,17,972.474573193
2011-01-01 00:00:00,n/a,0.00718010689868,4222757,5,14,-99.376315944
2011-01-01 00:00:00,nl,0.246211990966,144801940,5,11,1311.66562223
2011-01-01 00:00:00,no,6.84623396914e-05,40264,5,20,0
2011-01-01 00:00:00,pl,0.000216833682863,127524,5,19,0
2011-01-01 00:00:00,pt,4.2430709225,2495430457,5,4,433.295720209
2011-01-01 00:00:00,ru,0.333498967777,196137066,5,8,698.566947042
2011-01-01 00:00:00,sv,0.0,0,5,25,0
2011-01-01 00:00:00,th,0.0,0,5,29,0
2011-01-01 00:00:00,tr,0.333369442961,196060890,5,9,1325.65766396
2011-01-01 00:00:00,ur,0.0,0,5,24,0
2011-01-01 00:00:00,zh-cn,0.00970618937812,5708394,5,13,-33.4888880629
2011-01-01 00:00:00,zh-tw,0.00705119080314,4146939,5,15,54.3954771549
2012-01-01 00:00:00,ar,0.189606435273,73453964,6,13,0
2012-01-01 00:00:00,da,0.00867939151199,3362416,6,23,10859.6349413
2012-01-01 00:00:00,de,0.344250626015,133363475,6,12,-47.1423910101
2012-01-01 00:00:00,en,62.9863807924,24401067087,6,1,-39.0787149726
2012-01-01 00:00:00,en-ss,2.09084989029e-07,81,6,29,0
2012-01-01 00:00:00,en-xx,1.10995734917e-07,43,6,30,0
2012-01-01 00:00:00,es,9.89144504839,3831968295,6,3,-29.9897714813
2012-01-01 00:00:00,fa,0.000847382741092,328278,6,27,0
2012-01-01 00:00:00,fi,0.00579544612016,2245169,6,25,6232.26816336
2012-01-01 00:00:00,fil,0.0168924563847,6544176,6,20,318.135767793
2012-01-01 00:00:00,fr,1.0534906748,408124682,6,7,7.34684454398
2012-01-01 00:00:00,he,0.00108219809025,419246,6,26,0
2012-01-01 00:00:00,hi,0.017138490047,6639490,6,19,720.001926659
2012-01-01 00:00:00,hu,0.0060146084894,2330073,6,24,0
2012-01-01 00:00:00,id,1.11287109304,431128791,6,6,286.379167246
2012-01-01 00:00:00,it,0.500806434349,194013551,6,11,12.4169617536
2012-01-01 00:00:00,ja,12.8781784535,4989035605,6,2,-43.4058631378
2012-01-01 00:00:00,ko,1.18123074874,457611477,6,5,-8.94999300488
2012-01-01 00:00:00,msa,0.0138438526921,5363140,6,22,354.11508295
2012-01-01 00:00:00,n/a,0.0,0,6,31,-100.0
2012-01-01 00:00:00,nl,1.02098223879,395530840,6,8,173.152997812
2012-01-01 00:00:00,no,0.0162356739709,6289737,6,21,15521.2423008
2012-01-01 00:00:00,pl,0.0276903537941,10727306,6,17,8311.98989994
2012-01-01 00:00:00,pt,6.81645143058,2640708778,6,4,5.82177397861
2012-01-01 00:00:00,ru,0.943654801427,365574015,6,9,86.3870111119
2012-01-01 00:00:00,sv,0.0319357806143,12371994,6,15,0
2012-01-01 00:00:00,th,0.051125877106,19806281,6,14,0
2012-01-01 00:00:00,tr,0.831010431371,321935330,6,10,64.201707949
2012-01-01 00:00:00,ur,6.08566382882e-05,23576,6,28,0
2012-01-01 00:00:00,zh-cn,0.0301479671494,11679391,6,16,104.600295635
2012-01-01 00:00:00,zh-tw,0.0221501359131,8581013,6,18,106.924022755
